Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
zwischenPRP,NA,Preposition,0.444,0.245,0.199,527
anziehenV,Clothing and grooming,Verb,0.455,0.256,0.199,528
aufstehenV,NA,Verb,0.483,0.285,0.199,529
LoffelN,Food and drink,Noun,0.515,0.318,0.198,530
blauA,Sense perception,Adjective,0.637,0.44,0.197,531
StarkeN,NA,Noun,0.441,0.244,0.197,532
NadelN,Clothing and grooming,Noun,0.65,0.453,0.197,533
zerstorenV,Possession,Verb,0.429,0.233,0.196,534
lautenV,NA,Verb,0.501,0.305,0.196,535
BruckeN,Motion,Noun,0.718,0.523,0.195,536
MontagN,Time,Noun,0.633,0.438,0.195,537
sichtrennenV,NA,Verb,0.575,0.381,0.194,538
fangenV,Motion,Verb,0.565,0.371,0.194,539
rudernV,Motion,Verb,0.439,0.246,0.193,540
lustigA,NA,Adjective,0.455,0.262,0.193,541
verbindenV,NA,Verb,0.412,0.22,0.192,542
grunA,Sense perception,Adjective,0.702,0.51,0.192,543
machenV,Basic actions and technology,Verb,0.425,0.233,0.192,544
drehenV,NA,Verb,0.462,0.27,0.192,545
FrauN,Kinship,Noun,0.425,0.233,0.192,546
verlierenV,NA,Verb,0.462,0.27,0.192,547
GesichtN,The body,Noun,0.435,0.245,0.19,548
WaldN,The physical world,Noun,0.557,0.367,0.19,549
HitzeN,NA,Noun,0.42,0.231,0.189,550
BriefN,Modern world,Noun,0.494,0.304,0.189,551
vonhierADV,NA,Adverb,0.419,0.231,0.188,552
beruhmtA,NA,Adjective,0.462,0.274,0.188,553
biegenV,NA,Verb,0.524,0.336,0.188,554
fragenV,Speech and language,Verb,0.434,0.246,0.188,555
TorN,NA,Noun,0.67,0.482,0.188,556
auswahlenV,NA,Verb,0.407,0.22,0.187,557
reibenV,Basic actions and technology,Verb,0.428,0.242,0.187,558
ArbeitN,Basic actions and technology,Noun,0.413,0.226,0.186,559
GriffN,NA,Noun,0.448,0.262,0.186,560
DienstagN,Time,Noun,0.646,0.46,0.186,561
KameradN,NA,Noun,0.491,0.307,0.185,562
dasPRN,Miscellaneous function words,Pronoun,0.411,0.227,0.184,563
umruhrenV,NA,Verb,0.392,0.209,0.183,564
ReichtumN,NA,Noun,0.461,0.278,0.183,565
feinA,NA,Adjective,0.534,0.352,0.183,566
unterrichtenV,NA,Verb,0.45,0.267,0.183,567
stoenV,NA,Verb,0.416,0.233,0.183,568
argernV,NA,Verb,0.466,0.283,0.183,569
UferN,The physical world,Noun,0.453,0.273,0.18,570
RatselN,NA,Noun,0.406,0.226,0.18,571
zerbrechenV,NA,Verb,0.441,0.262,0.18,572
KinnN,The body,Noun,0.433,0.256,0.177,573
einwickelnV,Motion,Verb,0.406,0.229,0.177,574
reichenV,NA,Verb,0.474,0.299,0.175,575
SchmetterlingN,Animals,Noun,0.456,0.282,0.174,576
frischA,NA,Adjective,0.691,0.517,0.174,577
LeuteN,NA,Noun,0.556,0.382,0.174,578
BauchN,The body,Noun,0.401,0.228,0.173,579
boseA,NA,Adjective,0.401,0.228,0.173,580
andernV,Spatial relations,Verb,0.421,0.249,0.172,581
FebruarN,NA,Noun,0.793,0.621,0.171,582
GenickN,The body,Noun,0.485,0.314,0.171,583
zerreienV,NA,Verb,0.431,0.26,0.171,584
zurucklassenV,NA,Verb,0.483,0.313,0.17,585
GrubeN,NA,Noun,0.452,0.282,0.17,586
sichversammelnV,Social and political relations,Verb,0.407,0.237,0.17,587
KleidungN,Clothing and grooming,Noun,0.508,0.34,0.168,588
flachA,Spatial relations,Adjective,0.54,0.373,0.167,589
essenV,Food and drink,Verb,0.442,0.276,0.166,590
jetztADV,Time,Adverb,0.375,0.209,0.166,591
anhaltenV,NA,Verb,0.44,0.274,0.166,592
SchlittenN,NA,Noun,0.653,0.488,0.165,593
HeuN,Agriculture and vegetation,Noun,0.6,0.436,0.164,594
sichargernV,NA,Verb,0.431,0.267,0.164,595
StraeN,Motion,Noun,0.434,0.272,0.162,596
messenV,Spatial relations,Verb,0.819,0.658,0.162,597
RohrN,NA,Noun,0.782,0.62,0.162,598
FestlandN,The physical world,Noun,0.364,0.204,0.16,599
ehemaligA,NA,Adjective,0.398,0.238,0.16,600
zuerstADV,NA,Adverb,0.45,0.291,0.159,601
aufeinmalADV,NA,Adverb,0.404,0.245,0.159,602
bittenV,Speech and language,Verb,0.438,0.279,0.159,603
verlassenV,NA,Verb,0.394,0.236,0.158,604
schuttenV,Basic actions and technology,Verb,0.425,0.268,0.157,605
reienV,NA,Verb,0.398,0.241,0.157,606
sicherhebenV,NA,Verb,0.412,0.255,0.156,607
GastN,Social and political relations,Noun,0.669,0.513,0.156,608
sicherinnernanV,Cognition,Verb,0.408,0.253,0.155,609
sichbewegenV,NA,Verb,0.43,0.275,0.155,610
SpinneN,Animals,Noun,0.533,0.379,0.155,611
WunschN,NA,Noun,0.372,0.218,0.155,612
RegenbogenN,The physical world,Noun,0.451,0.298,0.154,613
traurigA,NA,Adjective,0.39,0.237,0.153,614
schwenkenV,NA,Verb,0.44,0.287,0.153,615
sprechenV,Speech and language,Verb,0.392,0.239,0.152,616
wegenPRP,NA,Preposition,0.37,0.218,0.152,617
KuckuckN,NA,Noun,0.722,0.57,0.152,618
GansN,Animals,Noun,0.773,0.621,0.152,619
VolkN,Social and political relations,Noun,0.671,0.52,0.151,620
anzundenV,The physical world,Verb,0.376,0.225,0.15,621
RaureifN,NA,Noun,0.435,0.284,0.15,622
damalsADV,NA,Adverb,0.391,0.24,0.15,623
schuttelnV,Motion,Verb,0.393,0.243,0.15,624
HalsN,The body,Noun,0.595,0.446,0.149,625
sofortADV,NA,Adverb,0.397,0.248,0.149,626
billigA,Possession,Adjective,0.407,0.258,0.149,627
bezahlenV,NA,Verb,0.553,0.405,0.149,628
beugenV,Basic actions and technology,Verb,0.426,0.277,0.149,629
EhefrauN,Kinship,Noun,0.386,0.238,0.148,630
klingenV,NA,Verb,0.402,0.256,0.147,631
spaterADV,NA,Adverb,0.39,0.243,0.146,632
EckeN,NA,Noun,0.368,0.222,0.146,633
StaatN,NA,Noun,0.733,0.587,0.145,634
probierenV,Sense perception,Verb,0.426,0.28,0.145,635
schiebenV,Motion,Verb,0.435,0.29,0.145,636
MittwochN,Time,Noun,0.681,0.537,0.144,637
abreienV,Basic actions and technology,Verb,0.376,0.232,0.144,638
BettN,The house,Noun,0.526,0.382,0.144,639
FehlerN,Emotions and values,Noun,0.519,0.377,0.142,640
ArbeiterN,NA,Noun,0.494,0.352,0.142,641
wartenV,NA,Verb,0.414,0.272,0.142,642
kaumADV,NA,Adverb,0.432,0.29,0.142,643
kleinA,Spatial relations,Adjective,0.416,0.274,0.142,644
liebenV,Emotions and values,Verb,0.468,0.327,0.142,645
HugelN,NA,Noun,0.398,0.257,0.141,646
WeideN,Animals,Noun,0.41,0.269,0.141,647
streichenV,NA,Verb,0.472,0.331,0.141,648
glanzenV,NA,Verb,0.415,0.275,0.141,649
KriegN,NA,Noun,0.5,0.359,0.14,650
GipfelN,NA,Noun,0.37,0.23,0.14,651
ZweigN,NA,Noun,0.448,0.308,0.14,652
ertragenV,NA,Verb,0.477,0.337,0.14,653
ScheibeN,NA,Noun,0.42,0.282,0.139,654
SchulterN,The body,Noun,0.39,0.252,0.138,655
dummA,Cognition,Adjective,0.477,0.341,0.137,656
obenADV,Spatial relations,Adverb,0.392,0.256,0.136,657
