Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
LastN,NA,Noun,0.631,0.432,0.199,669
wendenV,NA,Verb,0.388,0.19,0.197,670
GrovaterN,Kinship,Noun,0.559,0.363,0.196,671
SackN,NA,Noun,0.613,0.417,0.196,672
LehrerN,Cognition,Noun,0.511,0.315,0.196,673
ArtN,NA,Noun,0.569,0.374,0.195,674
ruhrenV,NA,Verb,0.444,0.25,0.194,675
leckenV,The body,Verb,0.598,0.404,0.194,676
weggehenV,Motion,Verb,0.409,0.216,0.193,677
SchweinN,Animals,Noun,0.475,0.283,0.193,678
FebruarN,NA,Noun,0.526,0.334,0.192,679
vorwartsADV,NA,Adverb,0.443,0.251,0.192,680
GastN,Social and political relations,Noun,0.577,0.386,0.191,681
heulenV,Speech and language,Verb,0.609,0.418,0.191,682
StammN,Agriculture and vegetation,Noun,0.541,0.351,0.19,683
geschicktA,NA,Adjective,0.485,0.296,0.189,684
VolkN,Social and political relations,Noun,0.704,0.515,0.189,685
erwartenV,NA,Verb,0.479,0.291,0.187,686
wertvollA,NA,Adjective,0.661,0.474,0.187,687
ihrPRN,Kinship,Pronoun,0.601,0.414,0.187,688
wegenPRP,NA,Preposition,0.342,0.155,0.187,689
wirPRN,Kinship,Pronoun,0.608,0.421,0.186,690
lustigA,NA,Adjective,0.546,0.36,0.186,691
FadenN,Clothing and grooming,Noun,0.569,0.383,0.186,692
verlassenV,NA,Verb,0.361,0.175,0.185,693
wiegenV,NA,Verb,0.369,0.184,0.185,694
SchuldN,Emotions and values,Noun,0.614,0.429,0.185,695
WangeN,The body,Noun,0.428,0.243,0.185,696
sanftA,NA,Adjective,0.434,0.25,0.185,697
sausenV,NA,Verb,0.404,0.222,0.182,698
antreibenV,NA,Verb,0.438,0.255,0.182,699
tauschenV,NA,Verb,0.409,0.227,0.182,700
RaureifN,NA,Noun,0.478,0.296,0.182,701
