Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
HoseN,Clothing and grooming,Noun,0.599,0.552,0.048,823
BuchN,Speech and language,Noun,0.642,0.594,0.047,824
geizigA,Possession,Adjective,0.287,0.239,0.047,825
leckerA,NA,Adjective,0.334,0.288,0.047,826
umdrehenV,NA,Verb,0.335,0.289,0.046,827
passierenV,NA,Verb,0.274,0.228,0.046,828
TuchN,NA,Noun,0.3,0.254,0.046,829
FubodenN,The house,Noun,0.413,0.368,0.045,830
DorfN,Social and political relations,Noun,0.341,0.296,0.045,831
WareN,NA,Noun,0.588,0.543,0.045,832
StoffN,Clothing and grooming,Noun,0.316,0.272,0.044,833
WelleN,The physical world,Noun,0.426,0.383,0.043,834
DeckeN,The house,Noun,0.491,0.448,0.043,835
antreibenV,NA,Verb,0.342,0.299,0.043,836
vorwartsADV,NA,Adverb,0.333,0.291,0.042,837
spitzA,Spatial relations,Adjective,0.315,0.273,0.042,838
StabN,NA,Noun,0.295,0.253,0.042,839
StockN,NA,Noun,0.453,0.412,0.041,840
brausenV,NA,Verb,0.278,0.237,0.041,841
funkelnV,NA,Verb,0.294,0.254,0.04,842
sicherholenV,The body,Verb,0.332,0.292,0.04,843
teuerA,Possession,Adjective,0.373,0.333,0.04,844
KieferAnatomieN,The body,Noun,0.366,0.326,0.04,845
StammN,Agriculture and vegetation,Noun,0.312,0.273,0.039,846
DeckelN,NA,Noun,0.412,0.373,0.039,847
anschauenV,Sense perception,Verb,0.288,0.25,0.039,848
MarzN,NA,Noun,0.612,0.575,0.038,849
StangeN,NA,Noun,0.361,0.323,0.037,850
hinzufugenV,NA,Verb,0.259,0.222,0.037,851
reinigenV,NA,Verb,0.526,0.489,0.037,852
bewachenV,NA,Verb,0.266,0.229,0.036,853
NeuigkeitN,NA,Noun,0.494,0.458,0.036,854
NutzenN,NA,Noun,0.608,0.572,0.036,855
wunschenV,NA,Verb,0.282,0.248,0.034,856
altLebewesenA,NA,Adjective,0.294,0.26,0.033,857
wohinFADV,NA,Interrogative (adv.),0.389,0.356,0.033,858
dannADV,NA,Adverb,0.31,0.278,0.033,859
HahnN,Animals,Noun,0.446,0.414,0.032,860
ansehenV,NA,Verb,0.265,0.233,0.032,861
bratenV,NA,Verb,0.292,0.261,0.031,862
einladenV,Social and political relations,Verb,0.322,0.291,0.03,863
UngluckN,Emotions and values,Noun,0.4,0.37,0.03,864
oderCNJ,Cognition,Conjunction,0.514,0.484,0.029,865
ubersetzenV,NA,Verb,0.464,0.436,0.028,866
sausenV,NA,Verb,0.299,0.272,0.027,867
krankwerdenV,NA,Verb,0.274,0.248,0.027,868
NovemberN,NA,Noun,0.522,0.496,0.026,869
KrankheitN,The body,Noun,0.314,0.288,0.026,870
erwartenV,NA,Verb,0.341,0.315,0.026,871
ruhrenV,NA,Verb,0.273,0.248,0.025,872
rauschenV,NA,Verb,0.249,0.225,0.024,873
badenV,The body,Verb,0.35,0.326,0.024,874
einmalADV,NA,Adverb,0.263,0.239,0.024,875
farbenV,Clothing and grooming,Verb,0.439,0.415,0.023,876
sichruhrenV,NA,Verb,0.253,0.23,0.023,877
vergebensADV,NA,Adverb,0.282,0.26,0.022,878
beschadigenV,Possession,Verb,0.306,0.285,0.02,879
QuelleN,NA,Noun,0.289,0.269,0.02,880
geratenV,NA,Verb,0.292,0.272,0.02,881
malenV,Basic actions and technology,Verb,0.616,0.598,0.018,882
gelingenV,NA,Verb,0.352,0.334,0.018,883
schlechtA,Emotions and values,Adjective,0.286,0.268,0.017,884
festA,NA,Adjective,0.309,0.292,0.017,885
mudewerdenV,NA,Verb,0.251,0.234,0.017,886
sichbeeilenV,Time,Verb,0.261,0.245,0.016,887
SacheN,Possession,Noun,0.263,0.246,0.016,888
aufbewahrenV,Possession,Verb,0.303,0.288,0.016,889
KreuzN,Spatial relations,Noun,0.54,0.524,0.015,890
krankA,The body,Adjective,0.358,0.343,0.015,891
springenV,Motion,Verb,0.31,0.295,0.015,892
WieseN,NA,Noun,0.388,0.374,0.015,893
bemerkenV,NA,Verb,0.279,0.264,0.014,894
uberallADV,NA,Adverb,0.279,0.265,0.013,895
baldADV,Time,Adverb,0.26,0.248,0.012,896
beruhrenV,Sense perception,Verb,0.247,0.235,0.012,897
SchafN,Animals,Noun,0.353,0.343,0.01,898
packenV,NA,Verb,0.252,0.244,0.008,899
FensterN,The house,Noun,0.389,0.383,0.006,900
MutzeN,NA,Noun,0.458,0.453,0.005,901
schlimmA,NA,Adjective,0.265,0.261,0.004,902
buntA,NA,Adjective,0.283,0.279,0.004,903
sauberA,Sense perception,Adjective,0.454,0.451,0.003,904
aufziehenV,NA,Verb,0.246,0.243,0.003,905
DreckN,NA,Noun,0.234,0.232,0.002,906
manchmalADV,Time,Adverb,0.246,0.245,0.001,907
geschicktA,NA,Adjective,0.311,0.311,0,908
schwingenV,NA,Verb,0.28,0.281,-0.001,909
JuliN,NA,Noun,0.63,0.632,-0.002,910
eilenV,Time,Verb,0.286,0.289,-0.003,911
fuhrenV,NA,Verb,0.426,0.429,-0.003,912
nurADV,Quantity,Adverb,0.318,0.322,-0.003,913
sehrADV,NA,Adverb,0.286,0.289,-0.004,914
schaukelnV,NA,Verb,0.227,0.231,-0.004,915
verderbenV,NA,Verb,0.302,0.307,-0.005,916
GeschaftN,NA,Noun,0.296,0.301,-0.005,917
ArtN,NA,Noun,0.33,0.335,-0.005,918
HandtuchN,Clothing and grooming,Noun,0.271,0.278,-0.007,919
leitenV,Motion,Verb,0.233,0.241,-0.008,920
blindA,The body,Adjective,0.595,0.604,-0.009,921
ErzahlungN,NA,Noun,0.286,0.296,-0.01,922
versuchenV,Cognition,Verb,0.274,0.284,-0.01,923
tanzenV,Motion,Verb,0.61,0.621,-0.011,924
pfeifenV,Speech and language,Verb,0.336,0.346,-0.011,925
KummerN,Emotions and values,Noun,0.374,0.386,-0.012,926
belastigenV,NA,Verb,0.242,0.253,-0.012,927
FeindN,Social and political relations,Noun,0.556,0.568,-0.012,928
StiefelN,Clothing and grooming,Noun,0.616,0.63,-0.014,929
sichdrehenV,NA,Verb,0.303,0.317,-0.014,930
MarchenN,NA,Noun,0.336,0.351,-0.015,931
LustN,NA,Noun,0.286,0.301,-0.015,932
spazierengehenV,NA,Verb,0.333,0.348,-0.015,933
SchmutzN,NA,Noun,0.273,0.29,-0.016,934
abfahrenV,NA,Verb,0.216,0.232,-0.017,935
schimpfenV,NA,Verb,0.269,0.286,-0.018,936
schmuckenV,NA,Verb,0.286,0.306,-0.02,937
tauchenV,Motion,Verb,0.323,0.344,-0.021,938
begreifenV,Cognition,Verb,0.291,0.312,-0.021,939
fleiigA,NA,Adjective,0.284,0.306,-0.022,940
tauschenV,NA,Verb,0.337,0.36,-0.022,941
bauenV,Basic actions and technology,Verb,0.273,0.296,-0.023,942
ZeitungN,Modern world,Noun,0.533,0.555,-0.023,943
zusammenADV,NA,Adverb,0.296,0.319,-0.023,944
BreiN,NA,Noun,0.552,0.582,-0.03,945
PilzN,Agriculture and vegetation,Noun,0.386,0.416,-0.03,946
JuniN,NA,Noun,0.495,0.526,-0.03,947
BarschN,NA,Noun,0.587,0.618,-0.031,948
